"Field Name","Value"
"project_name","Kolkata East-West Metro Extension Stabling Yard"
"state","West Bengal"
"district","Kolkata"
"project_type","RAILWAY"
"land_area","45"
"affected_families","480"
"current_stage","Objection / Hearing"
"next_stage","Land & Ownership Verification"
"snapshot_date","2026-08-25"
"latitude","22.5726"
"longitude","88.3639"
"approvals_required","14"
"approvals_completed","9"
"approval_process_start_date","2025-05-01"
"approval_expected_completion_date","2026-11-30"
"oldest_pending_approval_days","90"
"legal_cases_total","16"
"legal_cases_resolved","3"
"disputed_land_area","14.5"
"oldest_pending_case_days","240"
"compensation_total_amount","125000000"
"compensation_paid_amount","30000000"
"beneficiaries_eligible","460"
"beneficiaries_compensated","110"
"compensation_expected_completion_date","2027-02-28"
"documents_required","480"
"documents_submitted","310"
"documents_verified","210"
"notifications_required","5"
"notifications_issued","3"
"parcels_total","520"
"parcels_disputed","78"
"ownership_claims_total","560"
"ownership_conflicts_pending","58"
"ownership_conflicts_resolved","14"
"rr_families_required","170"
"rr_families_completed","25"
"land_required_for_possession","45"
"land_acquired_for_possession","11"
"possession_status","IN_PROGRESS"
"stakeholder_requests_raised","32"
"stakeholder_responses_received","15"
"average_response_time_days","21"
"departments_involved","6"
"coordination_requests_raised","22"
"coordination_requests_resolved","8"
