"Field Name","Value"
"project_name","Nashik Agro-Industrial Processing Zone (COMPLETED TEST 1)"
"state","Maharashtra"
"district","Nashik"
"project_type","INDUSTRIAL"
"land_area","120"
"affected_families","210"
"current_stage","Acquisition Completion"
"next_stage",""
"snapshot_date","2026-09-01"
"latitude","19.9975"
"longitude","73.7898"
"approvals_required","12"
"approvals_completed","12"
"approval_process_start_date","2024-01-15"
"approval_expected_completion_date","2024-10-31"
"oldest_pending_approval_days","0"
"legal_cases_total","6"
"legal_cases_resolved","6"
"disputed_land_area","0"
"oldest_pending_case_days","0"
"compensation_total_amount","75000000"
"compensation_paid_amount","75000000"
"beneficiaries_eligible","210"
"beneficiaries_compensated","210"
"compensation_expected_completion_date","2025-06-30"
"documents_required","210"
"documents_submitted","210"
"documents_verified","210"
"notifications_required","4"
"notifications_issued","4"
"parcels_total","280"
"parcels_disputed","0"
"ownership_claims_total","280"
"ownership_conflicts_pending","0"
"ownership_conflicts_resolved","18"
"rr_families_required","45"
"rr_families_completed","45"
"land_required_for_possession","120"
"land_acquired_for_possession","120"
"possession_status","COMPLETED"
"stakeholder_requests_raised","16"
"stakeholder_responses_received","16"
"average_response_time_days","5"
"departments_involved","4"
"coordination_requests_raised","14"
"coordination_requests_resolved","14"
