"Field Name","Value"
"project_name","Sanand Industrial Mega Park Extension"
"state","Gujarat"
"district","Ahmedabad"
"project_type","INDUSTRIAL"
"land_area","180"
"affected_families","230"
"current_stage","Compensation Disbursement"
"next_stage","Rehabilitation & Resettlement"
"snapshot_date","2026-05-20"
"latitude","23.0225"
"longitude","72.5714"
"approvals_required","10"
"approvals_completed","10"
"approval_process_start_date","2025-03-01"
"approval_expected_completion_date","2026-04-30"
"oldest_pending_approval_days","0"
"legal_cases_total","4"
"legal_cases_resolved","4"
"disputed_land_area","0"
"oldest_pending_case_days","0"
"compensation_total_amount","98000000"
"compensation_paid_amount","88000000"
"beneficiaries_eligible","225"
"beneficiaries_compensated","205"
"compensation_expected_completion_date","2026-08-31"
"documents_required","230"
"documents_submitted","230"
"documents_verified","220"
"notifications_required","3"
"notifications_issued","3"
"parcels_total","340"
"parcels_disputed","5"
"ownership_claims_total","345"
"ownership_conflicts_pending","3"
"ownership_conflicts_resolved","12"
"rr_families_required","65"
"rr_families_completed","58"
"land_required_for_possession","180"
"land_acquired_for_possession","155"
"possession_status","PARTIAL_POSSESSION"
"stakeholder_requests_raised","12"
"stakeholder_responses_received","12"
"average_response_time_days","6"
"departments_involved","3"
"coordination_requests_raised","9"
"coordination_requests_resolved","9"
