"Field Name","Value"
"project_name","Jaipur Smart City Northern Bypass Interchange"
"state","Rajasthan"
"district","Jaipur"
"project_type","HIGHWAY"
"land_area","74"
"affected_families","360"
"current_stage","Compensation Disbursement"
"next_stage","Rehabilitation & Resettlement"
"snapshot_date","2026-08-10"
"latitude","26.9124"
"longitude","75.7873"
"approvals_required","11"
"approvals_completed","10"
"approval_process_start_date","2025-02-15"
"approval_expected_completion_date","2026-08-15"
"oldest_pending_approval_days","20"
"legal_cases_total","5"
"legal_cases_resolved","4"
"disputed_land_area","4.2"
"oldest_pending_case_days","60"
"compensation_total_amount","68000000"
"compensation_paid_amount","54000000"
"beneficiaries_eligible","345"
"beneficiaries_compensated","280"
"compensation_expected_completion_date","2026-11-15"
"documents_required","360"
"documents_submitted","345"
"documents_verified","320"
"notifications_required","4"
"notifications_issued","4"
"parcels_total","410"
"parcels_disputed","18"
"ownership_claims_total","420"
"ownership_conflicts_pending","12"
"ownership_conflicts_resolved","24"
"rr_families_required","95"
"rr_families_completed","70"
"land_required_for_possession","74"
"land_acquired_for_possession","58"
"possession_status","PARTIAL_POSSESSION"
"stakeholder_requests_raised","16"
"stakeholder_responses_received","14"
"average_response_time_days","8.8"
"departments_involved","4"
"coordination_requests_raised","13"
"coordination_requests_resolved","11"
