"Field Name","Value"
"project_name","Kochi Smart Port Logistics Multi-Modal Hub"
"state","Kerala"
"district","Kochi"
"project_type","PORT"
"land_area","110"
"affected_families","340"
"current_stage","Land & Ownership Verification"
"next_stage","Award / Valuation"
"snapshot_date","2026-07-15"
"latitude","9.9312"
"longitude","76.2673"
"approvals_required","13"
"approvals_completed","10"
"approval_process_start_date","2025-05-15"
"approval_expected_completion_date","2026-08-30"
"oldest_pending_approval_days","50"
"legal_cases_total","7"
"legal_cases_resolved","3"
"disputed_land_area","14"
"oldest_pending_case_days","130"
"compensation_total_amount","115000000"
"compensation_paid_amount","48000000"
"beneficiaries_eligible","320"
"beneficiaries_compensated","130"
"compensation_expected_completion_date","2026-12-15"
"documents_required","340"
"documents_submitted","290"
"documents_verified","210"
"notifications_required","4"
"notifications_issued","4"
"parcels_total","450"
"parcels_disputed","38"
"ownership_claims_total","470"
"ownership_conflicts_pending","28"
"ownership_conflicts_resolved","15"
"rr_families_required","90"
"rr_families_completed","40"
"land_required_for_possession","110"
"land_acquired_for_possession","42"
"possession_status","IN_PROGRESS"
"stakeholder_requests_raised","19"
"stakeholder_responses_received","13"
"average_response_time_days","12"
"departments_involved","4"
"coordination_requests_raised","14"
"coordination_requests_resolved","8"
